
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
67,0
67,12
67,12
67,12
67,12
67,12
67,12
67,13
67,13
67,14
67,15
67,16
67,17
67,17
67,18
67,20
67,21
67,22
67,26
67,26
67,26
67,29
67,30
67,32
67,35
67,38
67,38
67,40
67,42
67,44
67,46
67,47
67,50
67,52
67,54
67,57
67,56
67,58
67,60
67,64
67,64
67,65
67,66
67,67
67,65
67,66
67,65
67,65
67,66
67,66
67,66
67,66
67,66
67,65
67,66
67,66
67,66
67,66
67,66
67,66
67,66
67,66
67,66
67,66
67,66
67,65
67,66
67,66
67,66
67,66
67,65
67,65
67,66
67,66
67,66
67,66
67,66
67,65
67,65
67,66
67,66
67,66
67,66
67,65
67,66
67,66
67,66
67,66
67,66
67,66
67,66
67,65
67,65
67,66
67,66
67,66
67,66
67,65
67,66
67,65
67,66
67,66
67,66
67,66
67,66
67,65
67,66
67,66
67,66
67,66
67,65
67,66
67,66
67,66
67,66
67,66
67,66
67,65
67,66
67,65
67,66
67,66
67,66
67,66
67,65
67,65
67,66
67,66
67,66
67,66
67,66
67,65
67,66
67,66
169,66
169,66
169,68
169,68
169,69
169,69
169,69
169,70
169,70
169,71
169,71
169,72
169,73
169,74
169,75
169,77
169,78
169,79
169,80
169,82
169,84
169,85
169,87
169,89
169,90
169,92
169,95
169,96
169,98
169,101
169,103
169,105
169,107
169,110
