0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
17,0
17,0
18,12
19,12
19,12
20,12
20,13
21,13
22,15
22,15
23,16
24,16
24,16
25,17
26,19
27,22
27,21
28,24
29,27
30,25
31,29
31,28
32,25
33,25
34,26
35,28
36,30
37,30
38,32
39,34
40,36
41,35
42,36
43,38
44,39
45,41
46,43
47,41
48,44
49,45
50,44
51,45
52,46
53,48
55,47
56,53
57,51
58,52
59,56
60,52
61,55
63,54
64,60
65,58
66,58
67,61
69,60
70,64
71,65
72,63
73,65
75,65
76,69
77,68
78,69
80,70
81,74
82,75
83,74
85,75
86,79
87,79
88,79
90,81
91,82
92,83
93,85
95,85
96,87
97,88
98,89
99,90
101,92
102,93
103,94
104,95
106,96
107,97
108,98
109,98
111,101
112,101
113,103
114,102
115,105
116,107
118,108
119,110
120,108
121,110
122,112
124,114
125,116
126,112
127,117
128,119
129,120
130,117
131,123
132,121
133,124
134,125
135,124
136,128
137,129
138,130
139,129
140,131
141,133
142,134
143,134
144,136
145,133
146,133
147,137
148,139
149,141
149,141
150,142
151,141
152,145
153,144
153,143
154,147
155,148
156,147
156,148
157,151
158,151
158,151
159,152
160,152
160,147
161,142
161,151
162,152
162,153
163,160
163,157
164,157
164,157
165,158
165,157
166,160
166,162
166,159
167,161
167,159
167,153
168,152
168,156
168,160
168,161
168,166
169,164
169,165
169,163
169,163
169,165
169,165
169,164
169,166
169,166
169,166
169,166
169,165
169,166
169,165
169,163
169,166
169,166
169,164
169,160
169,168
168,168
168,168
168,168
168,168
167,168
167,168
167,166
166,162
166,147
166,162
165,163
165,162
164,166
164,154
164,162
163,163
163,149
162,156
161,162
161,162
160,161
160,162
159,160
158,159
158,152
157,157
156,159
156,155
155,156
154,156
154,151
153,152
152,154
151,154
150,140
150,152
149,152
148,151
147,150
146,149
145,150
144,145
143,147
143,145
142,146
141,144
140,144
139,142
138,138
137,124
136,135
135,139
134,140
133,128
131,137
130,126
129,135
128,125
127,139
126,132
125,131
124,129
123,128
122,126
120,124
119,123
118,123
117,122
116,119
114,120
113,120
112,117
111,116
110,116
108,114
107,113
106,111
105,108
104,109
102,109
101,107
